topology,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,24,0.196928,0.913149,0.705199,0.331233,0.304519,0.83319,0.043394,0.020902,3.7535,3.4313,63,29
von_neumann,1,0.04,1000,24,0.176713,0.905679,0.695316,0.326534,0.30416,0.761403,0.044055,0.050043,3.7044,3.5987,69,24
von_neumann,2,0.04,500,24,0.149373,0.891194,0.653114,0.334251,0.297876,0.746211,0.043174,-0.009269,3.7316,3.5901,62,19
von_neumann,2,0.04,1000,24,0.206123,0.938495,0.704059,0.343652,0.310289,0.769297,0.043743,-0.000598,3.7579,3.6059,63,26
von_neumann,3,0.04,500,24,0.204203,0.950327,0.716306,0.337123,0.306571,0.81648,0.043545,-0.012078,3.7384,3.5305,67,33
von_neumann,3,0.04,1000,24,0.176947,0.898331,0.706918,0.335731,0.292166,0.755834,0.044566,-0.037441,3.7484,3.5725,76,29
von_neumann,4,0.04,500,24,0.200572,0.938276,0.729741,0.342759,0.305035,0.761776,0.043796,-0.015561,3.7853,3.617,73,34
von_neumann,4,0.04,1000,24,0.192057,0.981971,0.709871,0.342193,0.296543,0.707323,0.043257,-0.053615,3.7824,3.7206,73,31
von_neumann,5,0.04,500,24,0.164126,0.956461,0.678596,0.328107,0.310159,0.73226,0.043128,0.05533,3.7337,3.7161,61,22
von_neumann,5,0.04,1000,24,0.172389,0.917707,0.697209,0.350751,0.301099,0.741732,0.042704,-0.009085,3.822,3.6788,76,26
von_neumann,6,0.04,500,24,0.187321,0.901615,0.732046,0.348005,0.307739,0.775917,0.042669,-0.021368,3.7912,3.588,69,33
von_neumann,6,0.04,1000,24,0.196078,0.905907,0.692596,0.326014,0.300751,0.738784,0.04271,0.060131,3.711,3.6438,73,23
von_neumann,7,0.04,500,24,0.189034,0.924344,0.71337,0.341176,0.304406,0.774133,0.043183,-0.043441,3.78,3.6262,72,29
von_neumann,7,0.04,1000,24,0.165213,0.944185,0.699347,0.333935,0.294511,0.792259,0.043562,0.042155,3.7672,3.4888,56,26
von_neumann,8,0.04,500,24,0.195864,0.899106,0.680991,0.333571,0.303094,0.704806,0.043512,0.018138,3.7119,3.7245,66,22
von_neumann,8,0.04,1000,24,0.176202,0.841643,0.665234,0.335741,0.294323,0.740422,0.042903,0.028445,3.7388,3.5931,61,18
von_neumann,9,0.04,500,24,0.210804,0.899822,0.695549,0.3319,0.302606,0.755776,0.045112,-0.011614,3.6949,3.6065,69,25
von_neumann,9,0.04,1000,24,0.195208,0.862266,0.707927,0.344128,0.299664,0.713938,0.043481,-0.028569,3.7534,3.774,80,27
von_neumann,10,0.04,500,24,0.186477,0.914163,0.681283,0.330895,0.299022,0.718773,0.04384,-0.023549,3.7337,3.7383,68,25
von_neumann,10,0.04,1000,24,0.203026,0.896348,0.688708,0.338099,0.309835,0.793919,0.043414,-0.03003,3.7165,3.6553,74,23
von_neumann,11,0.04,500,24,0.190959,0.887925,0.685147,0.327335,0.307825,0.789443,0.043494,-0.030107,3.6656,3.5952,74,20
von_neumann,11,0.04,1000,24,0.201424,0.924655,0.719664,0.346167,0.307043,0.779408,0.044081,0.000381,3.7871,3.6445,76,34
von_neumann,12,0.04,500,24,0.1985,0.94704,0.714256,0.325767,0.300843,0.770034,0.042945,-0.027921,3.7167,3.5805,69,29
von_neumann,12,0.04,1000,24,0.182072,0.923569,0.721855,0.346731,0.29755,0.805018,0.043672,-0.030482,3.8066,3.5639,70,31
von_neumann,13,0.04,500,24,0.215525,0.883525,0.749627,0.343751,0.306717,0.771911,0.044002,-0.018228,3.7591,3.6459,70,38
von_neumann,13,0.04,1000,24,0.201702,0.879415,0.706188,0.322638,0.303947,0.780116,0.043938,-0.059177,3.7005,3.5864,77,29
von_neumann,14,0.04,500,24,0.167716,0.922468,0.697324,0.361728,0.301239,0.80171,0.041395,-0.006636,3.8163,3.5512,68,26
von_neumann,14,0.04,1000,24,0.198698,0.934168,0.681998,0.322402,0.310208,0.904258,0.042703,-0.016852,3.6917,3.4428,68,21
von_neumann,15,0.04,500,24,0.203079,0.896488,0.687934,0.323183,0.292923,0.798173,0.044694,-0.047862,3.6827,3.5255,69,25
von_neumann,15,0.04,1000,24,0.174009,0.932579,0.648604,0.325224,0.304223,0.814368,0.042702,-0.001297,3.7057,3.5637,65,16
von_neumann,16,0.04,500,24,0.19443,0.903956,0.7049,0.340973,0.316214,0.78283,0.042854,0.045593,3.7643,3.6146,66,28
von_neumann,16,0.04,1000,24,0.192804,0.890702,0.693006,0.316075,0.306569,0.874395,0.043608,-0.002156,3.6517,3.5003,62,24
von_neumann,17,0.04,500,24,0.188693,0.942042,0.748804,0.34877,0.306881,0.710358,0.044178,-0.03499,3.8094,3.7186,76,38
von_neumann,17,0.04,1000,24,0.170361,0.913706,0.691098,0.347079,0.298735,0.771276,0.04383,0.027159,3.7972,3.5469,64,24
von_neumann,18,0.04,500,24,0.178216,0.940424,0.707677,0.35875,0.298576,0.843625,0.042767,0.01024,3.8263,3.3788,77,26
von_neumann,18,0.04,1000,24,0.186711,0.901301,0.734235,0.335621,0.311258,0.833538,0.042415,0.053945,3.7533,3.5498,61,31
von_neumann,19,0.04,500,24,0.184297,0.914748,0.700497,0.337158,0.298802,0.793569,0.043711,0.040156,3.765,3.5623,70,28
von_neumann,19,0.04,1000,24,0.208974,0.915838,0.714196,0.323496,0.312716,0.795951,0.043187,-0.070297,3.6895,3.5509,82,31
von_neumann,20,0.04,500,24,0.171959,0.903833,0.714192,0.338514,0.302364,0.920307,0.04404,0.048238,3.7699,3.3341,68,28
von_neumann,20,0.04,1000,24,0.185691,0.933531,0.67914,0.326728,0.304742,0.77739,0.042887,0.025407,3.7202,3.6465,56,21
