connectome,seed,noise,tick,N,K,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err
c_elegans,1,0.04,1000,448,14,0.199369,0.92016,0.729444,0.339158,0.38006,0.802608,0.186697,0.658792,0.924565,0.02915
c_elegans,2,0.04,1000,448,14,0.203708,0.951058,0.688492,0.330886,0.371245,0.91384,0.187479,0.656771,0.924626,0.027804
c_elegans,3,0.04,1000,448,14,0.198622,0.905053,0.700873,0.352873,0.368392,0.830798,0.185852,0.660414,0.927176,0.028005
c_elegans,4,0.04,1000,448,14,0.207118,0.921862,0.707521,0.343397,0.373662,0.80533,0.182429,0.659357,0.925653,0.027682
c_elegans,5,0.04,1000,448,14,0.215946,0.861379,0.661965,0.310022,0.363482,0.868554,0.196755,0.662761,0.92221,0.029557
c_elegans,6,0.04,1000,448,14,0.191766,0.929539,0.677656,0.327928,0.378846,0.814175,0.173264,0.658459,0.925426,0.027697
c_elegans,7,0.04,1000,448,14,0.195926,0.86324,0.714005,0.34332,0.368821,0.8262,0.171266,0.660171,0.921585,0.030076
c_elegans,8,0.04,1000,448,14,0.204414,0.899569,0.712978,0.331388,0.373369,0.89146,0.178416,0.657832,0.919335,0.028763
c_elegans,9,0.04,1000,448,14,0.187951,0.984351,0.708974,0.330408,0.384752,0.880823,0.152381,0.661528,0.929671,0.027703
c_elegans,10,0.04,1000,448,14,0.169636,0.925655,0.700232,0.340542,0.370392,0.776774,0.146704,0.659884,0.922063,0.029296
c_elegans,11,0.04,1000,448,14,0.195548,0.948233,0.715809,0.351437,0.359865,0.832198,0.176873,0.65817,0.930808,0.028884
c_elegans,12,0.04,1000,448,14,0.201335,0.879618,0.689745,0.319759,0.369167,0.839722,0.185691,0.660138,0.921811,0.027784
c_elegans,13,0.04,1000,448,14,0.181895,0.885345,0.674902,0.332546,0.376332,0.815696,0.159614,0.657782,0.934331,0.02867
c_elegans,14,0.04,1000,448,14,0.200594,0.894395,0.712964,0.34034,0.375035,0.833206,0.185613,0.659849,0.920965,0.028687
c_elegans,15,0.04,1000,448,14,0.208765,0.925002,0.695906,0.345432,0.384379,0.835304,0.186752,0.659673,0.920098,0.027456
c_elegans,16,0.04,1000,448,14,0.175715,0.918773,0.72951,0.343908,0.376512,0.773383,0.164729,0.658735,0.92306,0.027451
c_elegans,17,0.04,1000,448,14,0.200819,0.888773,0.697706,0.327256,0.378059,0.840766,0.168694,0.65896,0.925375,0.028442
c_elegans,18,0.04,1000,448,14,0.163192,0.965437,0.687705,0.331087,0.366029,0.897588,0.141033,0.655952,0.92058,0.027778
c_elegans,19,0.04,1000,448,14,0.212416,0.94794,0.704105,0.324861,0.385584,0.756823,0.17414,0.658201,0.918691,0.027941
c_elegans,20,0.04,1000,448,14,0.202018,0.895326,0.690216,0.33022,0.380196,0.83122,0.189799,0.659757,0.923265,0.028775
c_elegans,1,0.08,1000,448,14,0.195097,0.931103,0.71838,0.352247,0.356732,0.911036,0.173646,0.658197,0.819143,0.041096
c_elegans,2,0.08,1000,448,14,0.203063,0.947019,0.689831,0.326457,0.353274,0.889714,0.183975,0.658631,0.820607,0.037987
