K,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err
3,1,0.04,1000,24,0.186556,0.876303,0.686835,0.328203,0.310708,0.836803,0.196899,0.656023,0.842664,0.046479
3,2,0.04,1000,24,0.199089,0.919055,0.706759,0.334313,0.311788,0.888292,0.179167,0.656527,0.831958,0.045341
3,3,0.04,1000,24,0.179578,0.903486,0.692804,0.350439,0.316749,0.872898,0.192059,0.657099,0.843889,0.046703
3,4,0.04,1000,24,0.188357,0.921474,0.688551,0.338921,0.310223,0.762217,0.180726,0.658797,0.846612,0.045914
3,5,0.04,1000,24,0.18258,0.918568,0.754144,0.359577,0.311223,0.737902,0.176027,0.657596,0.845612,0.045265
3,6,0.04,1000,24,0.182993,0.946395,0.689749,0.331215,0.306566,0.912449,0.197311,0.659934,0.851171,0.046044
3,7,0.04,1000,24,0.195338,0.844479,0.683592,0.334275,0.318954,0.847737,0.179381,0.657292,0.840501,0.045972
3,8,0.04,1000,24,0.18838,0.94098,0.719107,0.339769,0.306978,0.819145,0.187601,0.656996,0.848321,0.046025
3,9,0.04,1000,24,0.181334,0.979153,0.688317,0.353631,0.307261,0.784233,0.172553,0.660342,0.843549,0.045374
3,10,0.04,1000,24,0.186863,0.905408,0.69173,0.337808,0.31198,0.792502,0.181875,0.660686,0.84172,0.046879
3,11,0.04,1000,24,0.1819,0.87997,0.711145,0.340526,0.308666,0.787426,0.193666,0.656776,0.844144,0.045953
3,12,0.04,1000,24,0.203469,0.898074,0.7018,0.342587,0.320115,0.812718,0.201672,0.658912,0.838281,0.046491
3,13,0.04,1000,24,0.196662,0.883139,0.689419,0.340205,0.318743,0.855347,0.178601,0.657301,0.8443,0.044575
3,14,0.04,1000,24,0.201351,0.900991,0.709527,0.334938,0.31775,0.792563,0.195102,0.659951,0.850994,0.045898
3,15,0.04,1000,24,0.206964,0.930639,0.737379,0.338838,0.300451,0.726627,0.194848,0.66115,0.850131,0.046268
3,16,0.04,1000,24,0.177158,0.887566,0.719028,0.340993,0.316016,0.871619,0.176152,0.657274,0.838897,0.04664
3,17,0.04,1000,24,0.186923,0.871497,0.694878,0.335478,0.31095,0.81809,0.202395,0.662023,0.850342,0.045488
3,18,0.04,1000,24,0.16102,0.915877,0.669969,0.350316,0.304275,0.820802,0.155488,0.657396,0.847713,0.045112
3,19,0.04,1000,24,0.208045,0.918163,0.689344,0.33234,0.320007,0.761112,0.201074,0.65811,0.844206,0.046392
3,20,0.04,1000,24,0.164902,0.880671,0.676831,0.341923,0.307277,0.773367,0.155752,0.657664,0.842013,0.045683
4,1,0.04,1000,24,0.172486,0.922213,0.703774,0.347016,0.337183,0.820369,0.173299,0.658247,0.868215,0.037785
4,2,0.04,1000,24,0.180309,0.874872,0.688328,0.331454,0.355064,0.845166,0.17783,0.657346,0.866378,0.038628
4,3,0.04,1000,24,0.169781,0.881196,0.676749,0.329296,0.34107,0.774766,0.169533,0.657162,0.877006,0.038215
4,4,0.04,1000,24,0.172583,0.873656,0.674609,0.333104,0.354031,0.823592,0.153045,0.661274,0.870329,0.037916
4,5,0.04,1000,24,0.1699,0.868889,0.677662,0.333104,0.346145,0.811249,0.176199,0.657496,0.871412,0.038539
4,6,0.04,1000,24,0.191267,0.916781,0.711666,0.338538,0.352821,0.947874,0.175414,0.659309,0.870019,0.037898
4,7,0.04,1000,24,0.184483,0.954609,0.707035,0.329141,0.348334,0.885875,0.186063,0.65756,0.867874,0.038849
4,8,0.04,1000,24,0.181899,0.838757,0.700131,0.335207,0.346259,0.891386,0.18578,0.65734,0.861101,0.038394
4,9,0.04,1000,24,0.191504,0.899242,0.698083,0.330727,0.332962,0.798044,0.177894,0.659075,0.8678,0.038187
4,10,0.04,1000,24,0.161023,0.858075,0.688258,0.350567,0.34028,0.860085,0.153122,0.658245,0.869421,0.038552
4,11,0.04,1000,24,0.181787,0.848477,0.68153,0.326774,0.349215,0.78363,0.176712,0.658209,0.867224,0.038301
4,12,0.04,1000,24,0.201476,0.97281,0.706563,0.338472,0.345437,0.758871,0.188825,0.658056,0.867987,0.038251
4,13,0.04,1000,24,0.194557,0.960224,0.68539,0.340546,0.352007,0.838312,0.187742,0.658773,0.867457,0.038386
4,14,0.04,1000,24,0.215472,0.942609,0.730548,0.356947,0.349843,0.822093,0.20904,0.657265,0.872074,0.037748
4,15,0.04,1000,24,0.195317,0.919456,0.706119,0.343415,0.345882,0.878811,0.176625,0.659631,0.863671,0.037559
4,16,0.04,1000,24,0.192131,0.913947,0.718298,0.342455,0.353513,0.840319,0.198733,0.658861,0.870847,0.038141
4,17,0.04,1000,24,0.179483,0.941001,0.686503,0.340998,0.354529,0.797454,0.191892,0.65846,0.869015,0.038608
4,18,0.04,1000,24,0.184657,0.889216,0.705618,0.342463,0.354096,0.887994,0.193332,0.654335,0.873542,0.038182
4,19,0.04,1000,24,0.208526,0.930665,0.743284,0.356648,0.342819,0.819848,0.210563,0.658287,0.867144,0.039803
4,20,0.04,1000,24,0.189187,0.948973,0.713149,0.339487,0.346428,0.891866,0.183131,0.657926,0.873389,0.037914
5,1,0.04,1000,24,0.192325,0.898463,0.720199,0.344973,0.36642,0.925342,0.196091,0.656933,0.891409,0.033957
5,2,0.04,1000,24,0.170116,0.957727,0.709924,0.327694,0.36353,0.846031,0.162704,0.659364,0.892829,0.033061
5,3,0.04,1000,24,0.165243,0.927648,0.716512,0.36044,0.356722,0.845482,0.169588,0.658839,0.891495,0.033711
5,4,0.04,1000,24,0.181426,0.890809,0.687275,0.347196,0.363007,0.852454,0.182294,0.655793,0.894839,0.033185
5,5,0.04,1000,24,0.156546,0.947196,0.685263,0.338271,0.369228,0.901485,0.151854,0.656692,0.895862,0.033134
5,6,0.04,1000,24,0.219257,0.919258,0.729032,0.343759,0.37657,0.798274,0.212635,0.65642,0.885195,0.033472
5,7,0.04,1000,24,0.191647,0.910999,0.721254,0.327452,0.368544,0.793339,0.210648,0.659859,0.88702,0.035094
5,8,0.04,1000,24,0.183789,0.910905,0.727812,0.343372,0.370978,0.799906,0.177553,0.659632,0.893583,0.033792
5,9,0.04,1000,24,0.184502,0.88234,0.698491,0.324337,0.365078,0.864756,0.178712,0.660211,0.888947,0.034054
5,10,0.04,1000,24,0.168559,0.893555,0.70133,0.339601,0.355501,0.788635,0.160202,0.657401,0.892121,0.034546
5,11,0.04,1000,24,0.198115,0.948584,0.729986,0.344985,0.378177,0.822991,0.203212,0.657762,0.885576,0.033465
5,12,0.04,1000,24,0.19644,0.874213,0.708457,0.341848,0.365868,0.76734,0.191623,0.659036,0.881705,0.033631
5,13,0.04,1000,24,0.196383,0.919954,0.740847,0.343861,0.369994,0.866598,0.193555,0.655911,0.891517,0.033485
5,14,0.04,1000,24,0.178254,0.97045,0.700159,0.349551,0.359478,0.851184,0.175127,0.659678,0.896853,0.033485
5,15,0.04,1000,24,0.182897,0.885714,0.701426,0.348702,0.365007,0.836231,0.182772,0.660113,0.889235,0.033818
5,16,0.04,1000,24,0.167144,0.865407,0.70621,0.335812,0.368993,0.872434,0.159568,0.656887,0.889171,0.033418
5,17,0.04,1000,24,0.189039,0.914022,0.71742,0.355025,0.368578,0.839854,0.1973,0.658047,0.890447,0.033774
5,18,0.04,1000,24,0.16966,0.93327,0.675757,0.341996,0.371034,0.861374,0.171435,0.659296,0.889018,0.033415
5,19,0.04,1000,24,0.193746,0.876439,0.688022,0.340548,0.364922,0.756139,0.177777,0.657782,0.891172,0.034363
5,20,0.04,1000,24,0.176398,0.918872,0.703244,0.343446,0.366193,0.879806,0.180654,0.657071,0.889983,0.033901
6,1,0.04,1000,24,0.186148,0.887967,0.666201,0.331609,0.378161,0.779831,0.187974,0.659939,0.902835,0.030539
6,2,0.04,1000,24,0.178495,0.9141,0.70012,0.345654,0.394781,0.803897,0.183705,0.656492,0.897298,0.02997
6,3,0.04,1000,24,0.188516,0.909464,0.722528,0.335554,0.377833,0.865056,0.186967,0.658696,0.91028,0.030695
6,4,0.04,1000,24,0.190841,0.953803,0.697134,0.332364,0.384523,0.782907,0.174659,0.660299,0.906544,0.030309
6,5,0.04,1000,24,0.183688,0.881583,0.689798,0.334854,0.37647,0.797551,0.189963,0.65715,0.904055,0.030438
6,6,0.04,1000,24,0.202934,0.915592,0.722969,0.332012,0.384204,0.837579,0.214495,0.6577,0.90036,0.031009
6,7,0.04,1000,24,0.180769,0.90101,0.708517,0.345384,0.384247,0.761276,0.173525,0.657798,0.901219,0.031047
6,8,0.04,1000,24,0.18793,0.868369,0.70403,0.333343,0.39193,0.920241,0.197666,0.65761,0.90209,0.031149
6,9,0.04,1000,24,0.181057,0.90968,0.708688,0.333414,0.380646,0.904465,0.176971,0.658972,0.896877,0.030475
6,10,0.04,1000,24,0.205893,0.921231,0.679077,0.340206,0.382858,0.846291,0.19866,0.65879,0.902496,0.031168
6,11,0.04,1000,24,0.180034,0.939125,0.679611,0.33293,0.385291,0.830018,0.163875,0.657615,0.894616,0.030272
6,12,0.04,1000,24,0.171195,0.883406,0.67519,0.338084,0.384572,0.846075,0.164724,0.657196,0.896535,0.030551
6,13,0.04,1000,24,0.202551,0.891176,0.712814,0.337937,0.388753,0.767203,0.199845,0.659029,0.903782,0.030929
6,14,0.04,1000,24,0.186279,0.916173,0.661747,0.336598,0.37613,0.856086,0.177232,0.660836,0.911798,0.030786
6,15,0.04,1000,24,0.175952,0.847094,0.711809,0.342398,0.374662,0.82692,0.175341,0.657738,0.908244,0.030528
6,16,0.04,1000,24,0.213241,0.884243,0.724372,0.337811,0.392797,0.900824,0.207037,0.656271,0.895711,0.029922
6,17,0.04,1000,24,0.183334,0.926494,0.66557,0.330384,0.39093,0.793976,0.189864,0.658355,0.901148,0.030222
6,18,0.04,1000,24,0.156423,0.90131,0.687401,0.333103,0.38007,0.82392,0.163909,0.660866,0.900154,0.030298
6,19,0.04,1000,24,0.189729,0.934024,0.698168,0.346755,0.389342,0.886685,0.188308,0.659339,0.902537,0.031145
6,20,0.04,1000,24,0.17386,0.886651,0.689056,0.341418,0.378968,0.828657,0.173879,0.658394,0.904203,0.03053
7,1,0.04,1000,24,0.212505,0.909492,0.706584,0.323871,0.396171,0.824272,0.212852,0.658336,0.914741,0.028917
7,2,0.04,1000,24,0.183665,0.932894,0.69949,0.332872,0.394564,0.854688,0.176843,0.65933,0.916206,0.028132
7,3,0.04,1000,24,0.175986,0.846595,0.665549,0.33676,0.383594,0.873987,0.174191,0.657254,0.915418,0.028522
7,4,0.04,1000,24,0.202729,0.910825,0.739966,0.354381,0.400936,0.856313,0.195509,0.656092,0.910319,0.027922
7,5,0.04,1000,24,0.177488,0.945506,0.673485,0.33917,0.391076,0.895038,0.17635,0.657313,0.908135,0.028683
7,6,0.04,1000,24,0.19179,0.903422,0.722721,0.344481,0.403382,0.83132,0.194841,0.657621,0.907151,0.028316
7,7,0.04,1000,24,0.201244,0.864469,0.720856,0.344913,0.396022,0.801953,0.199834,0.659526,0.918186,0.028346
7,8,0.04,1000,24,0.175213,0.939251,0.679462,0.343018,0.39281,0.811939,0.17119,0.656458,0.916155,0.028402
7,9,0.04,1000,24,0.169659,0.896159,0.736486,0.354277,0.387394,0.854497,0.169423,0.65756,0.910016,0.02781
7,10,0.04,1000,24,0.150691,0.900368,0.690225,0.345298,0.382672,0.839256,0.148728,0.658341,0.917476,0.029057
7,11,0.04,1000,24,0.197659,0.867823,0.714673,0.343107,0.400468,0.841678,0.197032,0.656848,0.909156,0.028536
7,12,0.04,1000,24,0.175041,0.929843,0.694264,0.326581,0.394007,0.877368,0.162868,0.657881,0.910471,0.028397
7,13,0.04,1000,24,0.202079,0.912701,0.725462,0.339538,0.392614,0.881366,0.207946,0.65845,0.913829,0.028669
7,14,0.04,1000,24,0.192825,0.867556,0.688193,0.33047,0.39366,0.836822,0.185331,0.658542,0.918176,0.027658
7,15,0.04,1000,24,0.216336,0.917967,0.762546,0.332487,0.387378,0.850073,0.218443,0.659265,0.913889,0.029824
7,16,0.04,1000,24,0.173415,0.921829,0.70542,0.350749,0.392034,0.805694,0.175884,0.657245,0.912963,0.028511
7,17,0.04,1000,24,0.180963,0.94457,0.714616,0.349779,0.393632,0.819552,0.184998,0.660088,0.912821,0.029001
7,18,0.04,1000,24,0.188384,0.904549,0.701873,0.342429,0.38901,0.864878,0.184866,0.657132,0.916148,0.027616
7,19,0.04,1000,24,0.196085,0.949598,0.722457,0.343772,0.39317,0.846662,0.195871,0.657127,0.913445,0.029154
7,20,0.04,1000,24,0.171328,0.90524,0.714708,0.34346,0.389175,0.848531,0.160648,0.659154,0.9154,0.02854
8,1,0.04,1000,24,0.204655,0.910335,0.726884,0.348993,0.407345,0.887589,0.213966,0.658331,0.923775,0.026749
8,2,0.04,1000,24,0.1904,0.914705,0.758198,0.362331,0.397757,0.917847,0.181123,0.658823,0.924016,0.025922
8,3,0.04,1000,24,0.205954,0.857561,0.701172,0.337119,0.408114,0.929769,0.207028,0.657415,0.924095,0.027269
8,4,0.04,1000,24,0.199843,0.915232,0.711664,0.327046,0.395417,0.807127,0.204999,0.65835,0.923182,0.02719
8,5,0.04,1000,24,0.180327,0.865511,0.717292,0.33197,0.401563,0.851003,0.186409,0.659696,0.923328,0.026286
8,6,0.04,1000,24,0.205625,0.935471,0.717995,0.339094,0.403682,0.903805,0.208357,0.659489,0.917113,0.026252
8,7,0.04,1000,24,0.169428,0.905494,0.654999,0.334638,0.402155,0.830684,0.159461,0.659552,0.921149,0.026975
8,8,0.04,1000,24,0.172003,0.950238,0.688469,0.341389,0.396837,0.843515,0.174071,0.659145,0.925159,0.026766
8,9,0.04,1000,24,0.165088,0.878375,0.69793,0.343828,0.394778,0.846388,0.164734,0.657953,0.924117,0.026564
8,10,0.04,1000,24,0.160083,0.911443,0.686091,0.341973,0.387442,0.809705,0.158955,0.660364,0.924524,0.02706
8,11,0.04,1000,24,0.183406,0.933397,0.705816,0.347759,0.399572,0.802319,0.1854,0.656895,0.923526,0.026616
8,12,0.04,1000,24,0.187588,0.927939,0.718529,0.344536,0.414045,0.866736,0.179538,0.657418,0.924573,0.026194
8,13,0.04,1000,24,0.19223,0.861012,0.698448,0.328045,0.407805,0.821506,0.188923,0.657255,0.921165,0.026553
8,14,0.04,1000,24,0.177117,0.903593,0.689004,0.348056,0.395875,0.840821,0.17135,0.657668,0.928063,0.026028
8,15,0.04,1000,24,0.199572,0.943568,0.690325,0.330066,0.397991,0.900775,0.197482,0.658364,0.92636,0.026708
8,16,0.04,1000,24,0.20132,0.945149,0.699391,0.326781,0.392108,0.844907,0.196722,0.660333,0.925097,0.025737
8,17,0.04,1000,24,0.191187,0.922089,0.711781,0.345024,0.401558,0.864339,0.196579,0.659319,0.924195,0.027085
