topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,24,False,0.19705,0.913152,0.7052,0.331207,0.304573,0.833267,0.130353,0.659885,0.869071,0.043424,0.020829,3.7541,3.4325,63,29
von_neumann,1,0.04,1000,24,False,0.176834,0.905871,0.695409,0.326522,0.304213,0.761555,0.125268,0.658103,0.872747,0.044085,0.050117,3.7039,3.5987,69,24
von_neumann,2,0.04,500,24,False,0.149497,0.891256,0.653009,0.334243,0.297924,0.746583,0.109321,0.657152,0.870345,0.043202,-0.00928,3.7314,3.5898,62,19
von_neumann,2,0.04,1000,24,False,0.206231,0.938404,0.704223,0.343644,0.310332,0.769452,0.155893,0.65898,0.860255,0.043774,-0.00059,3.7588,3.6059,63,26
von_neumann,3,0.04,500,24,False,0.204314,0.950362,0.716263,0.337116,0.306614,0.816836,0.162278,0.660263,0.8708,0.043576,-0.012034,3.7372,3.5303,67,33
von_neumann,3,0.04,1000,24,False,0.177063,0.898353,0.706973,0.335716,0.292209,0.756033,0.142366,0.65956,0.88089,0.044598,-0.037449,3.7489,3.5733,76,29
von_neumann,4,0.04,500,24,False,0.200683,0.938312,0.729939,0.342743,0.305085,0.761802,0.148799,0.657446,0.863712,0.043828,-0.015522,3.7862,3.6196,73,34
von_neumann,4,0.04,1000,24,False,0.192179,0.981945,0.709912,0.342173,0.296592,0.707337,0.141913,0.656984,0.866645,0.043287,-0.053626,3.7818,3.7203,73,31
von_neumann,5,0.04,500,24,False,0.164231,0.956439,0.67849,0.328095,0.310216,0.732426,0.128471,0.65768,0.876431,0.043159,0.055288,3.7329,3.7151,61,22
von_neumann,5,0.04,1000,24,False,0.172495,0.917709,0.697121,0.350739,0.301145,0.741864,0.136157,0.660824,0.874118,0.042735,-0.009088,3.8204,3.6791,76,25
von_neumann,6,0.04,500,24,False,0.187439,0.901716,0.732173,0.348003,0.3078,0.775871,0.130598,0.655549,0.874617,0.042698,-0.021414,3.7912,3.588,69,33
