topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,48,False,0.196173,0.908907,0.713379,0.335496,0.304138,0.867688,0.143607,0.657282,0.872392,0.043678,0.00131,3.7523,3.4525,286,118
von_neumann,1,0.04,1000,48,False,0.194891,0.953198,0.706136,0.338471,0.305431,0.812357,0.14326,0.658762,0.869069,0.042912,0.013062,3.767,3.5862,265,113
von_neumann,2,0.04,500,48,False,0.181907,0.955139,0.681558,0.332116,0.30502,0.844822,0.130441,0.659233,0.869417,0.043562,-0.035428,3.745,3.5167,265,86
von_neumann,2,0.04,1000,48,False,0.193744,0.94627,0.702652,0.335208,0.305013,0.856929,0.142393,0.658016,0.870233,0.043463,-0.003469,3.7587,3.4792,278,106
von_neumann,3,0.04,500,48,False,0.186847,0.908118,0.70986,0.340389,0.303531,0.940746,0.130897,0.658535,0.870889,0.043602,0.032143,3.7814,3.3342,279,120
von_neumann,3,0.04,1000,48,False,0.174994,0.923116,0.695789,0.340814,0.303561,0.847514,0.131709,0.658508,0.873511,0.043923,-0.006245,3.774,3.4524,274,97
von_neumann,4,0.04,500,48,False,0.187149,0.945391,0.718807,0.343727,0.310225,0.83963,0.137281,0.658924,0.868084,0.043716,0.015154,3.8053,3.5446,263,123
von_neumann,4,0.04,1000,48,False,0.174945,0.927353,0.699049,0.340194,0.305334,0.888379,0.135199,0.659291,0.876763,0.043738,0.012175,3.7844,3.4374,266,105
von_neumann,5,0.04,500,48,False,0.182661,0.924483,0.711769,0.343995,0.298116,0.842227,0.135084,0.658471,0.873967,0.043846,0.004818,3.7996,3.491,287,111
von_neumann,5,0.04,1000,48,False,0.189632,0.930564,0.714672,0.339925,0.306616,0.804661,0.147239,0.658474,0.870231,0.043059,0.003658,3.7765,3.5869,286,117
von_neumann,6,0.04,500,48,False,0.184221,0.924795,0.706693,0.342253,0.303998,0.797699,0.128995,0.658494,0.872948,0.043604,-0.003628,3.7898,3.5682,280,111
von_neumann,6,0.04,1000,48,False,0.184561,0.963294,0.703824,0.338799,0.30527,0.806087,0.138074,0.659211,0.873039,0.043692,0.012402,3.7716,3.5892,269,103
von_neumann,7,0.04,500,48,False,0.189859,0.94161,0.705649,0.336964,0.306404,0.849794,0.141874,0.657698,0.871177,0.043692,0.00563,3.7709,3.5352,274,113
