topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,24,False,0.509658,0.973622,0.855296,0.222792,0.238514,0.807021,0.052014,0.768275,0.833906,0.039216,0.030384,3.1424,3.3332,23,75
von_neumann,1,0.04,1000,24,False,0.484439,0.964074,0.853748,0.235027,0.236192,0.673265,0.024657,0.768836,0.857369,0.039591,-0.002459,3.1632,3.5301,37,71
von_neumann,2,0.04,500,24,False,0.494248,0.970209,0.837139,0.227924,0.237392,0.763184,0.043302,0.770895,0.844188,0.03951,-0.017599,3.1577,3.4217,38,71
von_neumann,2,0.04,1000,24,False,0.510982,0.997668,0.876094,0.23987,0.243751,0.745651,0.051831,0.769759,0.827647,0.039476,-0.006151,3.202,3.4918,24,77
von_neumann,3,0.04,500,24,False,0.508641,0.99372,0.864066,0.226033,0.240598,0.75063,0.065137,0.770219,0.83679,0.039044,-0.005513,3.1137,3.49,31,75
von_neumann,3,0.04,1000,24,False,0.487738,0.989183,0.839092,0.230589,0.229077,0.618121,0.039184,0.770456,0.856349,0.040496,-0.018024,3.1712,3.676,43,77
von_neumann,4,0.04,500,24,False,0.497127,0.974043,0.8536,0.228819,0.235942,0.737665,0.049418,0.769952,0.83916,0.038869,-0.037087,3.1531,3.4562,39,74
von_neumann,4,0.04,1000,24,False,0.506603,0.9677,0.846172,0.226001,0.234703,0.64007,0.059171,0.76901,0.843136,0.040047,0.012094,3.1307,3.6575,30,76
von_neumann,5,0.04,500,24,False,0.50444,0.97786,0.836366,0.219762,0.236607,0.788802,0.050023,0.770753,0.854895,0.039229,0.046298,3.1106,3.396,21,69
von_neumann,5,0.04,1000,24,False,0.478282,0.983588,0.837285,0.227904,0.226779,0.751797,0.042213,0.769689,0.865478,0.035585,0.017599,3.1564,3.4016,33,63
von_neumann,6,0.04,500,24,False,0.511661,0.983379,0.841391,0.230559,0.242247,0.731505,0.042804,0.767785,0.837655,0.040118,0.006556,3.1452,3.5027,19,67
von_neumann,6,0.04,1000,24,False,0.485543,0.970985,0.836248,0.223812,0.227171,0.739298,0.027704,0.770706,0.855112,0.039595,0.072274,3.1555,3.4459,34,66
von_neumann,7,0.04,500,24,False,0.49417,0.983557,0.865095,0.234776,0.240633,0.741362,0.044009,0.766525,0.849486,0.039755,0.01672,3.1979,3.5492,28,69
von_neumann,7,0.04,1000,24,False,0.491712,0.966214,0.848235,0.226832,0.236419,0.707427,0.037183,0.769194,0.838402,0.042446,-0.002609,3.1514,3.552,37,64
von_neumann,8,0.04,500,24,False,0.498318,0.968337,0.84921,0.239731,0.238451,0.614129,0.04456,0.768623,0.845216,0.039257,0.001609,3.1903,3.6946,21,77
von_neumann,8,0.04,1000,24,False,0.486804,0.961525,0.847549,0.230421,0.234924,0.800712,0.04956,0.768609,0.860879,0.03826,0.00738,3.1706,3.3645,28,70
von_neumann,9,0.04,500,24,False,0.506514,0.971378,0.857257,0.231478,0.231528,0.735378,0.060845,0.769473,0.850119,0.040032,-0.009845,3.1639,3.4821,26,71
von_neumann,9,0.04,1000,24,False,0.497748,0.98769,0.843501,0.232748,0.23321,0.655727,0.058273,0.769484,0.839315,0.038296,-0.020564,3.1463,3.6449,20,75
von_neumann,10,0.04,500,24,False,0.495534,0.99537,0.860292,0.234715,0.236656,0.756205,0.049405,0.768685,0.839073,0.039711,-0.019182,3.1894,3.4875,32,83
von_neumann,10,0.04,1000,24,False,0.502038,0.96766,0.842146,0.234627,0.241874,0.811239,0.055194,0.768983,0.853487,0.040662,-0.011887,3.1684,3.4228,33,73
