topology,seed,noise,gamma,tick,size,lr2,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,mean_self_pred_err
moore,1,0.04,0.0,1000,24,0.003,0.193367,0.903833,0.673824,0.323854,0.363157,0.785656,0.159806,0.660149,0.923018,0.030068,0.017568
moore,2,0.04,0.0,1000,24,0.003,0.174917,0.88208,0.705109,0.342034,0.358755,0.807549,0.13505,0.65854,0.921762,0.030136,0.017707
moore,3,0.04,0.0,1000,24,0.003,0.166618,0.869074,0.680766,0.326299,0.357378,0.734602,0.122747,0.659581,0.928943,0.030029,0.017595
moore,4,0.04,0.0,1000,24,0.003,0.192194,0.948131,0.673303,0.335961,0.362343,0.843742,0.154986,0.65808,0.924599,0.030005,0.017628
moore,5,0.04,0.0,1000,24,0.003,0.203857,0.899645,0.723504,0.343061,0.359309,0.813918,0.152603,0.659166,0.919472,0.030869,0.017553
moore,6,0.04,0.0,1000,24,0.003,0.19045,0.942894,0.726421,0.3465,0.358833,0.775936,0.163914,0.659543,0.919944,0.030433,0.017348
moore,7,0.04,0.0,1000,24,0.003,0.171681,0.961649,0.713253,0.353089,0.367984,0.875909,0.136913,0.658061,0.920444,0.030489,0.017943
moore,8,0.04,0.0,1000,24,0.003,0.206776,0.924779,0.726676,0.335514,0.366293,0.802885,0.165229,0.659169,0.919872,0.030762,0.017846
moore,9,0.04,0.0,1000,24,0.003,0.194595,0.896139,0.716952,0.337304,0.357111,0.921438,0.154577,0.662746,0.921038,0.029318,0.017653
moore,10,0.04,0.0,1000,24,0.003,0.196338,0.909221,0.678564,0.332271,0.364508,0.80287,0.151079,0.65791,0.922346,0.030033,0.017422
moore,11,0.04,0.0,1000,24,0.003,0.161658,0.892252,0.670194,0.334038,0.358888,0.840894,0.127975,0.65896,0.930274,0.029995,0.01747
moore,12,0.04,0.0,1000,24,0.003,0.181244,0.91363,0.669563,0.336891,0.35943,0.871979,0.141079,0.660558,0.924963,0.030244,0.017321
moore,13,0.04,0.0,1000,24,0.003,0.204283,0.898573,0.724381,0.3524,0.362838,0.744698,0.165951,0.660246,0.915279,0.030134,0.017875
moore,14,0.04,0.0,1000,24,0.003,0.210809,0.884263,0.712291,0.334318,0.355099,0.858872,0.170434,0.658503,0.91754,0.030494,0.017603
moore,15,0.04,0.0,1000,24,0.003,0.202409,0.892171,0.744739,0.331624,0.367084,0.812265,0.161965,0.66183,0.920075,0.029801,0.017832
moore,16,0.04,0.0,1000,24,0.003,0.218097,0.958182,0.729163,0.334211,0.374302,0.832973,0.171984,0.659749,0.920438,0.030088,0.017783
moore,17,0.04,0.0,1000,24,0.003,0.189033,0.896889,0.724665,0.343662,0.368039,0.874482,0.153792,0.659324,0.918777,0.030827,0.017676
moore,18,0.04,0.0,1000,24,0.003,0.188614,0.950652,0.727527,0.346515,0.34993,0.852552,0.139179,0.659349,0.924658,0.029419,0.017455
moore,19,0.04,0.0,1000,24,0.003,0.179201,0.950387,0.713334,0.354932,0.349996,0.784497,0.138069,0.658096,0.920496,0.030676,0.017532
moore,20,0.04,0.0,1000,24,0.003,0.215822,0.905509,0.707138,0.330799,0.370809,0.76994,0.167892,0.660357,0.921846,0.030541,0.017346
moore,1,0.08,0.0,1000,24,0.003,0.197313,0.954974,0.70271,0.330668,0.3081,0.687628,0.140203,0.661546,0.801841,0.044137,0.022279
moore,2,0.08,0.0,1000,24,0.003,0.175457,0.908615,0.695597,0.343815,0.315413,0.728496,0.11059,0.66003,0.797217,0.044599,0.022305
moore,3,0.08,0.0,1000,24,0.003,0.18107,0.916592,0.697238,0.324421,0.309981,0.710966,0.115133,0.660139,0.811136,0.044247,0.022249
moore,4,0.08,0.0,1000,24,0.003,0.197333,0.978681,0.677688,0.328229,0.31175,0.797028,0.135416,0.659721,0.803713,0.04459,0.022214
moore,5,0.08,0.0,1000,24,0.003,0.204744,0.917645,0.707719,0.34269,0.307494,0.764695,0.122929,0.659868,0.799294,0.045838,0.022336
moore,6,0.08,0.0,1000,24,0.003,0.197575,0.90176,0.696175,0.341652,0.310091,0.731055,0.134376,0.660917,0.791227,0.04492,0.02194
moore,7,0.08,0.0,1000,24,0.003,0.189403,0.918584,0.718577,0.342833,0.315713,0.760147,0.134884,0.659742,0.795393,0.044674,0.022342
moore,8,0.08,0.0,1000,24,0.003,0.200498,0.940189,0.713049,0.336106,0.308537,0.768503,0.129968,0.661389,0.79991,0.044831,0.022424
moore,9,0.08,0.0,1000,24,0.003,0.211955,0.946465,0.724464,0.342345,0.307715,0.842382,0.14853,0.663229,0.791024,0.043828,0.022217
moore,10,0.08,0.0,1000,24,0.003,0.209085,0.906893,0.726366,0.329334,0.314513,0.82087,0.137728,0.660019,0.797295,0.044426,0.02181
moore,11,0.08,0.0,1000,24,0.003,0.165753,0.905705,0.697961,0.337578,0.309223,0.769258,0.105889,0.661597,0.818743,0.043709,0.022138
moore,12,0.08,0.0,1000,24,0.003,0.192172,0.843184,0.709566,0.334015,0.310125,0.822156,0.134733,0.662807,0.804582,0.044132,0.021838
moore,13,0.08,0.0,1000,24,0.003,0.197796,0.864106,0.710095,0.343142,0.304787,0.75083,0.138631,0.661913,0.786842,0.044961,0.022528
moore,14,0.08,0.0,1000,24,0.003,0.207903,0.92801,0.713673,0.328047,0.306621,0.743614,0.135752,0.659005,0.783714,0.045648,0.021976
moore,15,0.08,0.0,1000,24,0.003,0.211234,0.945472,0.728932,0.333628,0.320399,0.77462,0.141239,0.662221,0.792355,0.044243,0.022382
moore,16,0.08,0.0,1000,24,0.003,0.207037,0.960404,0.734975,0.339634,0.315584,0.801322,0.135809,0.66003,0.795648,0.044452,0.022426
moore,17,0.08,0.0,1000,24,0.003,0.196225,0.923308,0.709307,0.341151,0.317143,0.779707,0.131554,0.661084,0.793916,0.045794,0.02219
moore,18,0.08,0.0,1000,24,0.003,0.202177,0.919631,0.726648,0.343949,0.296666,0.77894,0.121864,0.659382,0.8066,0.043029,0.022084
moore,19,0.08,0.0,1000,24,0.003,0.180904,0.960044,0.719124,0.351493,0.293886,0.74903,0.116576,0.659235,0.804796,0.04512,0.022172
moore,20,0.08,0.0,1000,24,0.003,0.236268,0.911893,0.718331,0.326116,0.324031,0.737699,0.152812,0.660737,0.790027,0.044632,0.022203
moore,1,0.12,0.0,1000,24,0.003,0.19674,0.94024,0.710665,0.333571,0.274089,0.651532,0.122309,0.662262,0.717629,0.06078,0.028441
