topology,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,12,0.225743,0.867757,0.694423,0.337466,0.317727,0.71742,0.043325,-0.054821,3.6529,3.7116,19,6
von_neumann,1,0.04,1000,12,0.157916,0.774081,0.648876,0.337901,0.313938,0.643009,0.04148,0.025773,3.6495,3.7826,19,2
von_neumann,2,0.04,500,12,0.224434,0.936189,0.70122,0.315606,0.334925,0.809647,0.042396,0.060817,3.6587,3.5365,14,7
von_neumann,2,0.04,1000,12,0.184626,0.93057,0.74914,0.356363,0.269808,0.746189,0.045542,0.094909,3.8021,3.44,17,9
von_neumann,3,0.04,500,12,0.175947,0.939064,0.669876,0.343235,0.299944,0.814445,0.047438,0.080683,3.7301,3.4463,16,6
von_neumann,3,0.04,1000,12,0.147011,0.82626,0.659224,0.354633,0.278149,0.72528,0.045271,0.051349,3.7375,3.4925,13,4
von_neumann,4,0.04,500,12,0.188927,0.885377,0.656603,0.327853,0.303426,0.610745,0.043374,-0.091919,3.6573,3.7482,16,5
von_neumann,4,0.04,1000,12,0.16806,0.911937,0.692436,0.368693,0.295567,0.819729,0.044781,0.087115,3.876,3.4661,16,5
von_neumann,5,0.04,500,12,0.211031,0.917134,0.738173,0.341458,0.294962,0.701033,0.044695,-0.064831,3.7279,3.7064,21,9
von_neumann,5,0.04,1000,12,0.207136,0.786667,0.670306,0.329506,0.321771,0.796179,0.043322,0.001032,3.6059,3.6009,20,5
von_neumann,6,0.04,500,12,0.180964,0.898556,0.696617,0.34851,0.330562,0.731671,0.042706,-0.101427,3.7577,3.6967,18,7
von_neumann,6,0.04,1000,12,0.183573,0.805971,0.661935,0.31448,0.298706,0.646456,0.043802,-0.004466,3.6256,3.6751,18,4
von_neumann,7,0.04,500,12,0.202606,0.898208,0.717177,0.332354,0.309189,0.647734,0.042219,0.108674,3.6471,3.8093,15,6
von_neumann,7,0.04,1000,12,0.214493,0.969823,0.693133,0.332632,0.310159,0.810036,0.043398,-0.168885,3.6606,3.4877,23,7
von_neumann,8,0.04,500,12,0.2068,0.931571,0.711084,0.348472,0.300036,0.700076,0.043511,-0.053488,3.7382,3.6286,23,9
von_neumann,8,0.04,1000,12,0.206745,0.777016,0.705447,0.318562,0.325968,0.810272,0.042319,-0.112168,3.5893,3.4635,26,9
von_neumann,9,0.04,500,12,0.169611,0.840727,0.690422,0.334429,0.285492,0.752046,0.044255,-0.001322,3.6494,3.4632,16,5
von_neumann,9,0.04,1000,12,0.199104,0.888675,0.6853,0.337136,0.316316,0.707506,0.043016,-0.003843,3.6814,3.7644,14,7
von_neumann,10,0.04,500,12,0.194026,0.868715,0.688328,0.341238,0.334788,0.760727,0.041743,0.00727,3.6887,3.7415,14,7
von_neumann,10,0.04,1000,12,0.194789,0.917083,0.687489,0.337596,0.30475,0.738142,0.043844,-0.018668,3.6892,3.5587,15,7
von_neumann,11,0.04,500,12,0.219006,0.90048,0.707967,0.340393,0.308376,0.690768,0.041087,-0.008324,3.6898,3.7488,15,8
von_neumann,11,0.04,1000,12,0.223174,0.910887,0.693686,0.309764,0.300564,0.642385,0.044078,0.066155,3.6019,3.7775,17,7
von_neumann,12,0.04,500,12,0.185456,0.84157,0.686762,0.32812,0.285276,0.619848,0.045032,0.059457,3.6576,3.7434,15,6
von_neumann,12,0.04,1000,12,0.209711,0.766191,0.676166,0.304904,0.309005,0.753907,0.045619,-0.026267,3.5315,3.6402,14,5
von_neumann,13,0.04,500,12,0.232805,0.839129,0.665979,0.311257,0.329019,0.79823,0.043199,-0.008478,3.5399,3.7442,17,4
von_neumann,13,0.04,1000,12,0.150274,0.876875,0.739769,0.364532,0.293341,0.661555,0.040203,0.076563,3.7834,3.7164,12,8
von_neumann,14,0.04,500,12,0.195763,0.871648,0.720843,0.341671,0.322555,0.754337,0.040935,0.109212,3.7282,3.7014,12,5
von_neumann,14,0.04,1000,12,0.149803,0.866141,0.677378,0.333965,0.294507,0.71159,0.042117,0.040486,3.6863,3.7196,18,5
von_neumann,15,0.04,500,12,0.199204,0.890698,0.696731,0.349476,0.294461,0.693075,0.04287,-0.065345,3.7112,3.5926,21,8
von_neumann,15,0.04,1000,12,0.184537,0.972414,0.735343,0.342837,0.293804,0.572883,0.045147,0.013847,3.7377,3.9301,16,10
von_neumann,16,0.04,500,12,0.162939,0.954017,0.704127,0.366623,0.305797,0.817816,0.043505,0.051286,3.7795,3.4555,22,7
von_neumann,16,0.04,1000,12,0.127631,0.826325,0.673746,0.346147,0.319923,0.715768,0.04384,-0.01964,3.7607,3.7616,18,7
von_neumann,17,0.04,500,12,0.147591,0.877852,0.713941,0.370361,0.297003,0.663358,0.042713,0.077791,3.8483,3.783,15,8
von_neumann,17,0.04,1000,12,0.225196,0.952847,0.707526,0.33032,0.340169,0.870925,0.0413,0.069949,3.6097,3.4887,15,8
von_neumann,18,0.04,500,12,0.152204,0.926702,0.696121,0.357152,0.302032,0.687188,0.041734,0.073081,3.778,3.5982,17,7
von_neumann,18,0.04,1000,12,0.179334,0.786431,0.675376,0.349915,0.293941,0.675855,0.045545,-0.111914,3.6372,3.6721,23,3
von_neumann,19,0.04,500,12,0.15421,0.846636,0.665613,0.350001,0.29996,0.770607,0.045845,-0.072263,3.7169,3.5266,15,4
von_neumann,19,0.04,1000,12,0.134806,0.88175,0.710702,0.369382,0.278227,0.600328,0.041837,0.084948,3.8327,3.7602,14,8
von_neumann,20,0.04,500,12,0.194156,0.875866,0.734094,0.345147,0.282712,0.83479,0.045131,-0.010789,3.7211,3.3865,18,7
von_neumann,20,0.04,1000,12,0.149737,0.897974,0.624467,0.333792,0.295062,0.682997,0.043908,0.016159,3.6961,3.6953,18,4
von_neumann,21,0.04,500,12,0.157163,0.824427,0.614134,0.319994,0.281809,0.749426,0.043555,-0.030456,3.6242,3.4514,15,3
von_neumann,21,0.04,1000,12,0.182702,0.825451,0.667243,0.319364,0.3001,0.695511,0.041905,0.038544,3.5854,3.7302,12,5
von_neumann,22,0.04,500,12,0.217363,0.900321,0.677172,0.331054,0.304043,0.866693,0.044353,-0.001225,3.5885,3.4183,17,4
von_neumann,22,0.04,1000,12,0.131812,0.904669,0.745838,0.374464,0.296924,0.692335,0.04185,0.081025,3.8315,3.6267,17,10
von_neumann,23,0.04,500,12,0.232055,0.84182,0.690506,0.305549,0.329084,0.792306,0.045771,0.025956,3.5335,3.5842,15,5
von_neumann,23,0.04,1000,12,0.206405,0.849454,0.734273,0.348073,0.299995,0.675074,0.043716,-0.090447,3.7422,3.7602,22,13
von_neumann,24,0.04,500,12,0.180246,0.829837,0.691872,0.351576,0.288854,0.763862,0.045116,-0.172137,3.7541,3.446,22,7
von_neumann,24,0.04,1000,12,0.21935,0.798664,0.666218,0.321333,0.312287,0.648416,0.043882,-0.005144,3.5919,3.686,17,6
von_neumann,25,0.04,500,12,0.190643,0.838442,0.742513,0.357766,0.321759,0.733244,0.042399,0.044259,3.6723,3.62,17,10
von_neumann,25,0.04,1000,12,0.212564,0.889669,0.712524,0.316297,0.328429,0.808056,0.043781,0.053197,3.6253,3.668,16,7
von_neumann,26,0.04,500,12,0.213149,0.899595,0.716894,0.334348,0.319585,0.752293,0.04254,-0.010912,3.7081,3.6789,17,8
von_neumann,26,0.04,1000,12,0.201962,0.789391,0.684218,0.335525,0.299384,0.699853,0.045872,0.022506,3.6468,3.6681,16,6
