topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,12,False,0.225743,0.867757,0.694423,0.337466,0.317727,0.71742,0.222635,0.65951,0.883592,0.043325,-0.054821,3.6529,3.7116,19,6
von_neumann,1,0.04,1000,12,False,0.157916,0.774081,0.648876,0.337901,0.313938,0.643009,0.071071,0.657323,0.864562,0.04148,0.025773,3.6495,3.7826,19,2
von_neumann,2,0.04,500,12,False,0.224434,0.936189,0.70122,0.315606,0.334925,0.809647,0.148253,0.660384,0.861649,0.042396,0.060817,3.6587,3.5365,14,7
von_neumann,2,0.04,1000,12,False,0.184626,0.93057,0.74914,0.356363,0.269808,0.746189,0.140944,0.657511,0.865895,0.045542,0.094909,3.8021,3.44,17,9
von_neumann,3,0.04,500,12,False,0.175947,0.939064,0.669876,0.343235,0.299944,0.814445,0.146539,0.660315,0.872487,0.047438,0.080683,3.7301,3.4463,16,6
von_neumann,3,0.04,1000,12,False,0.147011,0.82626,0.659224,0.354633,0.278149,0.72528,0.080995,0.654343,0.887421,0.045271,0.051349,3.7375,3.4925,13,4
von_neumann,4,0.04,500,12,False,0.188927,0.885377,0.656603,0.327853,0.303426,0.610745,0.149704,0.659627,0.86403,0.043374,-0.091919,3.6573,3.7482,16,5
von_neumann,4,0.04,1000,12,False,0.16806,0.911937,0.692436,0.368693,0.295567,0.819729,0.158789,0.658949,0.868881,0.044781,0.087115,3.876,3.4661,16,5
von_neumann,5,0.04,500,12,False,0.211031,0.917134,0.738173,0.341458,0.294962,0.701033,0.112724,0.661334,0.872768,0.044695,-0.064831,3.7279,3.7064,21,9
von_neumann,5,0.04,1000,12,False,0.207136,0.786667,0.670306,0.329506,0.321771,0.796179,0.155139,0.659632,0.866494,0.043322,0.001032,3.6059,3.6009,20,5
von_neumann,6,0.04,500,12,False,0.180964,0.898556,0.696617,0.34851,0.330562,0.731671,0.122079,0.659308,0.869266,0.042706,-0.101427,3.7577,3.6967,18,7
von_neumann,6,0.04,1000,12,False,0.183573,0.805971,0.661935,0.31448,0.298706,0.646456,0.143824,0.663337,0.872265,0.043802,-0.004466,3.6256,3.6751,18,4
von_neumann,7,0.04,500,12,False,0.202606,0.898208,0.717177,0.332354,0.309189,0.647734,0.160721,0.658673,0.872281,0.042219,0.108674,3.6471,3.8093,15,6
von_neumann,7,0.04,1000,12,False,0.214493,0.969823,0.693133,0.332632,0.310159,0.810036,0.180903,0.663098,0.867028,0.043398,-0.168885,3.6606,3.4877,23,7
