topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,48,False,0.196178,0.908978,0.713309,0.335497,0.304134,0.867692,0.143657,0.657283,0.872397,0.043674,0.001253,3.7522,3.4525,285,118
von_neumann,1,0.04,1000,48,False,0.194905,0.953127,0.706059,0.338464,0.305425,0.812352,0.14335,0.658764,0.869077,0.042906,0.013026,3.7674,3.5856,265,113
von_neumann,2,0.04,500,48,False,0.18192,0.955089,0.680406,0.33212,0.305018,0.84482,0.130496,0.659235,0.869422,0.043558,-0.035429,3.7448,3.5171,265,86
von_neumann,2,0.04,1000,48,False,0.193757,0.946223,0.702725,0.335211,0.305008,0.856868,0.142482,0.65802,0.870242,0.043457,-0.003482,3.7587,3.4791,277,106
von_neumann,3,0.04,500,48,False,0.186851,0.907981,0.709753,0.340393,0.303527,0.9407,0.130948,0.658534,0.870893,0.043599,0.032121,3.7813,3.3344,279,119
von_neumann,3,0.04,1000,48,False,0.174995,0.923129,0.696465,0.340806,0.303555,0.847463,0.131783,0.658509,0.873519,0.043918,-0.006244,3.7745,3.4522,274,97
von_neumann,4,0.04,500,48,False,0.187157,0.945403,0.71866,0.343735,0.310222,0.839663,0.137329,0.658924,0.868088,0.043713,0.015158,3.805,3.5443,262,123
von_neumann,4,0.04,1000,48,False,0.174955,0.927383,0.699251,0.340199,0.305328,0.88832,0.135281,0.659292,0.87677,0.043732,0.012176,3.784,3.4374,266,104
von_neumann,5,0.04,500,48,False,0.182666,0.92446,0.711819,0.343989,0.298113,0.842208,0.135135,0.65847,0.873973,0.043843,0.004796,3.8005,3.491,287,111
von_neumann,5,0.04,1000,48,False,0.189651,0.930249,0.71513,0.339908,0.30661,0.80474,0.147336,0.658474,0.870238,0.043053,0.003649,3.7761,3.5869,288,117
von_neumann,6,0.04,500,48,False,0.184219,0.924902,0.706584,0.342259,0.303995,0.797713,0.129043,0.658494,0.872953,0.043601,-0.003618,3.7896,3.5682,279,111
von_neumann,6,0.04,1000,48,False,0.18457,0.963289,0.70365,0.33881,0.305265,0.806035,0.138164,0.659212,0.873046,0.043686,0.012344,3.7719,3.5898,270,103
von_neumann,7,0.04,500,48,False,0.189868,0.941443,0.705616,0.336958,0.3064,0.849808,0.14192,0.6577,0.871181,0.043689,0.005635,3.7713,3.5352,274,113
von_neumann,7,0.04,1000,48,False,0.188541,0.949433,0.703501,0.335389,0.308786,0.941439,0.141368,0.658336,0.872532,0.042861,0.019313,3.7624,3.364,270,110
von_neumann,8,0.04,500,48,False,0.18906,0.948209,0.712693,0.34434,0.309398,0.822678,0.140755,0.65938,0.867503,0.043049,0.008088,3.7968,3.5564,297,116
von_neumann,8,0.04,1000,48,False,0.185687,0.955274,0.706663,0.340508,0.308005,0.830814,0.123408,0.658152,0.868507,0.042933,-0.000126,3.79,3.5198,273,113
von_neumann,9,0.04,500,48,False,0.188932,0.949085,0.710873,0.337168,0.308536,0.894133,0.147907,0.658493,0.869409,0.043133,-0.027986,3.7708,3.4412,286,115
von_neumann,9,0.04,1000,48,False,0.19586,0.932192,0.695449,0.332493,0.308459,0.824232,0.143605,0.659882,0.869898,0.043632,-0.011044,3.7455,3.5395,281,103
von_neumann,10,0.04,500,48,False,0.194176,0.904783,0.68832,0.33636,0.30443,0.892173,0.149819,0.659974,0.870191,0.044129,-0.008993,3.7532,3.4431,283,98
von_neumann,10,0.04,1000,48,False,0.170586,0.961194,0.700021,0.344765,0.304691,0.838184,0.12288,0.658886,0.868996,0.043705,-0.020611,3.8028,3.5312,271,108
moore,1,0.04,500,48,False,0.200895,0.947157,0.705491,0.335614,0.36319,0.853239,0.160763,0.658809,0.925777,0.030338,-0.008451,3.7493,3.5397,164,100
moore,1,0.04,1000,48,False,0.195348,0.956329,0.710375,0.342932,0.363395,0.878788,0.15397,0.659429,0.923076,0.029457,-0.003292,3.7838,3.4943,163,97
moore,2,0.04,500,48,False,0.18295,0.949566,0.690644,0.335745,0.361857,0.913665,0.139975,0.659153,0.921145,0.030451,-0.005305,3.7575,3.4323,160,85
moore,2,0.04,1000,48,False,0.193488,0.933472,0.708877,0.337955,0.361999,0.84289,0.154053,0.658035,0.921034,0.030191,-0.002446,3.7737,3.5397,161,108
moore,3,0.04,500,48,False,0.190146,0.936849,0.708873,0.340823,0.356134,0.906161,0.146295,0.657919,0.922959,0.030633,0.012808,3.78,3.4191,174,97
moore,3,0.04,1000,48,False,0.179843,0.935922,0.689,0.341663,0.360067,0.845613,0.141981,0.658893,0.926103,0.030418,-0.011638,3.7887,3.5133,163,87
moore,4,0.04,500,48,False,0.194837,0.954409,0.715939,0.34438,0.369257,0.892867,0.155126,0.658937,0.918957,0.030317,0.01244,3.7906,3.4976,143,97
moore,4,0.04,1000,48,False,0.176847,0.949883,0.709174,0.339859,0.360426,0.890346,0.144057,0.659729,0.925443,0.02977,0.009317,3.7844,3.4455,170,96
moore,5,0.04,500,48,False,0.181129,0.931284,0.69725,0.34111,0.354253,0.858769,0.136852,0.658171,0.925682,0.030194,0.002452,3.7849,3.4918,162,90
moore,5,0.04,1000,48,False,0.18561,0.947814,0.703796,0.335606,0.360563,0.862876,0.151468,0.658134,0.925245,0.030047,0.007766,3.7645,3.4917,168,101
